"Achillea.millefolium","Stipeae","Agoseris.glauca","Allium.geyeri","Amelanchier.alnifolia","Antennaria.parviflora","Artemisia.arbuscula","Artemisia.tridentata","Asteraceae","Astragalus.drummondii","Astragalus.miser","Balsamorhiza.sagittata","Berberis.repens","Boechera.consanguinea","Boechera.stricta","Calochortus.gunnisonii","Carex.sp.","Caryophyllaceae","Castilleja.chromosa","Chrysothamnus.depresus","Chrysothamnus.vaseyi","Chrysothamnus.viscidiflorus","Crepis.sp.","Cyrtorhyncha.ranunculina","Delphinium.nuttallianum","Elymus.elymoides","Eremegone.congesta","Erigeron.eatonii","Eriogonum.racemosum","Eriogonum.umbellatum","Galium.boreale","Lupinus.polyphyllus","Mertensia.brevistyla","Pediocactus.simpsonii","Penstemon.caespitosus","Penstemon.strictus","Phlox.multiflora","Poa.sp.","Polygonum.sp.","Potentilla.pulcherrima","Pulsatilla.nuttalliana","Sedum.lanceolatum","Symphoricarpos.rotundifolius","Taraxacum.officianale","Vicia.americana","Wyethia.x.magna","species"
0,0.09,0.01,0,0,0.08,0,0,0,0,0,0,0.04,0,0,0.005,0.005,0,0.01,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.08,0.005,0.005,0,0,0.01,0,0,0,0,"C. chromosa"
0.07,0.08,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.16,0,0,0,0.11,0,0,0,0,0,0.005,0,0.01,0,0,0,0,0,0.005,0,0.06,0,0,0,0,0.01,0,0,0,0,"C. chromosa"
0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.02,0.2,0.03,0,0,0.04,0,0,0.02,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0.05,0.005,0,0,0.03,0,"C. chromosa"
0,0.03,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0.07,0,0,0,0.1,0,0,0.05,0.02,0,0,0,0,0,0,0,0,0.03,0.005,0,0,0.19,0,0,0,0.03,0,"C. chromosa"
0.005,0,0,0,0,0,0.22,0,0,0,0,0.02,0,0,0,0,0,0,0.015,0.3,0,0,0.01,0.02,0,0,0.005,0,0.02,0,0,0.005,0,0,0.01,0,0,0,0,0,0,0,0.06,0,0,0,"C. chromosa"
0,0,0,0,0,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0.04,0.005,0.005,0,0,0.01,0,0,0.01,0,0.05,0.02,0,0,0.06,0.01,0,0,0.01,0,"C. chromosa"
0,0.12,0,0,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0.03,0,0.02,0.05,0,0,0,0.05,0,0,0.01,0,0.005,0,0,0,0,0,0,0,0.11,0,0,0,0,0.01,0,0.01,0,0,"C. chromosa"
0.09,0.04,0,0,0,0,0.05,0,0,0,0,0.15,0,0,0,0,0.03,0,0,0,0,0,0,0.06,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,"C. chromosa"
0,0.08,0,0,0,0,0,0,0.02,0,0,0.1,0,0,0,0,0,0,0.015,0.2,0,0,0.01,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0.01,0,0,0,0,"C. chromosa"
0,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0.02,0,0,0,0.01,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,"C. chromosa"
0,0.06,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0.005,0,0.005,0.02,0.25,0,0,0.01,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0.02,0,0.09,0.03,0,0,0,0.01,0,0,0,0,"C. chromosa"
0.005,0.15,0,0,0,0,0.02,0,0,0,0,0.06,0,0,0,0.005,0,0.01,0,0.05,0,0,0,0.01,0.005,0,0.03,0.01,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0.005,0,0,0,0,"C. chromosa"
