"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Coreopsis major",-84.280825,33.801617,"USA","Georgia",NA,4875507900,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.523688,34.239004,"USA","Georgia",NA,4112055883,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.362602,34.69877,"USA","Georgia",NA,4138323641,"Asteraceae","SPECIES",28790,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.370216,33.917603,"USA","Georgia",NA,4138549600,"Asteraceae","SPECIES",1246,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.39058,32.767883,"USA","Georgia",NA,4875295593,"Asteraceae","SPECIES",7,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-82.980228,34.366402,"USA","Georgia",NA,4522485493,"Asteraceae","SPECIES",2700,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.317972,34.692461,"USA","Georgia",NA,4903834042,"Asteraceae","SPECIES",28790,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.123511,34.581395,"USA","Georgia",NA,4919121245,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.092417,34.611314,"USA","Georgia",NA,4901395174,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.887878,34.282305,"USA","Georgia",NA,2620017211,"Asteraceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.255997,34.610682,"USA","Georgia",NA,4522484323,"Asteraceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.316933,34.326563,"USA","Georgia",NA,4921522035,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.66474,34.68825,"USA","Georgia",NA,4522474703,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.89693,34.7297,"USA","Georgia",NA,3859008411,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.709222,34.762263,"USA","Georgia",NA,4901252653,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.316734,34.326565,"USA","Georgia",NA,4891847325,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.677728,34.724603,"USA","Georgia",NA,2610936695,"Asteraceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.177788,32.917933,"USA","Georgia",NA,4946276353,"Asteraceae","SPECIES",5,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.404756,34.627929,"USA","Georgia",NA,4130087316,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.531162,32.49024,"USA","Georgia",NA,4522431795,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.836905,34.367742,"USA","Georgia",NA,4522477359,"Asteraceae","SPECIES",30,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.286411,33.844709,"USA","Georgia",NA,2620116689,"Asteraceae","SPECIES",37,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.439567,34.805758,"USA","Georgia",NA,3302140338,"Asteraceae","SPECIES",98,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.926505,34.737562,"USA","Georgia",NA,4137762596,"Asteraceae","SPECIES",5,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.486156,34.841443,"USA","Georgia",NA,4522515559,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.382892,34.948385,"USA","Georgia",NA,4522474340,"Asteraceae","SPECIES",66,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.888606,32.849163,"USA","Georgia",NA,3772779952,"Asteraceae","SPECIES",251,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.577287,33.975563,"USA","Georgia",NA,4853007646,"Asteraceae","SPECIES",78,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.469745,34.4903,"USA","Georgia",NA,4171313018,"Asteraceae","SPECIES",9,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.161461,34.231358,"USA","Georgia",NA,2864814268,"Asteraceae","SPECIES",6,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.137458,34.183713,"USA","Georgia",NA,4172019085,"Asteraceae","SPECIES",28,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.182581,34.447071,"USA","Georgia",NA,4901652739,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.37297,33.927578,"USA","Georgia",NA,4130144914,"Asteraceae","SPECIES",247,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.307744,34.605075,"USA","Georgia",NA,3859578223,"Asteraceae","SPECIES",56,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.740603,32.315747,"USA","Georgia",NA,3327728009,"Asteraceae","SPECIES",4,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.743095,32.84417,"USA","Georgia",NA,4868134990,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.390787,32.767475,"USA","Georgia",NA,4522545855,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.375548,34.930464,"USA","Georgia",NA,3090532745,"Asteraceae","SPECIES",21,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.891112,34.127183,"USA","Georgia",NA,4919372931,"Asteraceae","SPECIES",28874,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.365189,34.084094,"USA","Georgia",NA,2826538876,"Asteraceae","SPECIES",11,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.257912,34.178745,"USA","Georgia",NA,2813931768,"Asteraceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.24578,34.905012,"USA","Georgia",NA,4102844199,"Asteraceae","SPECIES",7,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.66518,34.6879,"USA","Georgia",NA,4891838042,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.932414,33.24729,"USA","Georgia",NA,1849180286,"Asteraceae","SPECIES",1500,1988,"PRESERVED_SPECIMEN","USCH",""
"Coreopsis major",-85.48195,34.834367,"USA","Georgia",NA,3698175625,"Asteraceae","SPECIES",45,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.740487,33.149758,"USA","Georgia",NA,4867888037,"Asteraceae","SPECIES",12,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.723584,33.113641,"USA","Georgia",NA,3860035083,"Asteraceae","SPECIES",307,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.754694,32.842685,"USA","Georgia",NA,4522522763,"Asteraceae","SPECIES",8,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.3984,34.987026,"USA","Georgia",NA,2265819947,"Asteraceae","SPECIES",28762,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.44483,34.739987,"USA","Georgia",NA,4162127564,"Asteraceae","SPECIES",3,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.568089,34.001373,"USA","Georgia",NA,4872468545,"Asteraceae","SPECIES",3,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.076508,34.582874,"USA","Georgia",NA,3859042811,"Asteraceae","SPECIES",14,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.479255,34.836425,"USA","Georgia",NA,4522570758,"Asteraceae","SPECIES",20,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.23121,34.94423,"USA","Georgia",NA,4522479444,"Asteraceae","SPECIES",318,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.333333,34.666667,"USA","Georgia",NA,2520678329,"Asteraceae","SPECIES",NA,1987,"PRESERVED_SPECIMEN","OBI",""
"Coreopsis major",-84.503039,32.867297,"USA","Georgia",NA,4522474315,"Asteraceae","SPECIES",11,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-85.4043,34.137671,"USA","Georgia",NA,3858588562,"Asteraceae","SPECIES",668,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.575028,34.874917,"USA","Georgia",NA,574821620,"Asteraceae","SPECIES",NA,2011,"LIVING_SPECIMEN","E","Royal Botanic Garden Edinburgh Living Collection"
"Coreopsis major",-84.17116,33.624721,"USA","Georgia",NA,4138505821,"Asteraceae","SPECIES",196,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.768813,33.157444,"USA","Georgia",NA,4891978635,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.696699,32.506419,"USA","Georgia",NA,3766305111,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.806066,32.497752,"USA","Georgia",NA,3766305115,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.696699,32.506419,"USA","Georgia",NA,3766305113,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.791487,32.392882,"USA","Georgia",NA,3766305118,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.824718,32.511218,"USA","Georgia",NA,3766305119,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.885244,32.288609,"USA","Georgia",NA,3766305120,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.826298,32.445536,"USA","Georgia",NA,3766305121,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.826298,32.445536,"USA","Georgia",NA,3766305133,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.689108,32.511131,"USA","Georgia",NA,3766305135,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.885244,32.288609,"USA","Georgia",NA,3766305200,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.885244,32.288609,"USA","Georgia",NA,3766305203,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.689108,32.511131,"USA","Georgia",NA,3766305201,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-84.693958,32.482528,"USA","Georgia",NA,3766305205,"Asteraceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Coreopsis major",-85.314722,33.856111,"USA","Georgia",NA,2859050765,"Asteraceae","SPECIES",100,2003,"PRESERVED_SPECIMEN","CM",""
"Coreopsis major",-84.687388,34.193554,"USA","Georgia",NA,4937185186,"Asteraceae","SPECIES",28874,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.14583,33.80611,"USA","Georgia",NA,415905266,"Asteraceae","SPECIES",20000,1899,"PRESERVED_SPECIMEN","UConn",""
"Coreopsis major",-83.727975,33.119521,"USA","Georgia",NA,3858996108,"Asteraceae","SPECIES",629,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.327003,34.720261,"USA","Georgia",NA,4138703198,"Asteraceae","SPECIES",28790,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.66431,34.68855,"USA","Georgia",NA,4138490686,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.709647,34.779112,"USA","Georgia",NA,2814460831,"Asteraceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-82.634167,34.056389,"USA","Georgia",NA,3344494498,"Asteraceae","SPECIES",NA,1979,"PRESERVED_SPECIMEN","CLEMS",""
"Coreopsis major",-82.645833,34.071944,"USA","Georgia",NA,3344494533,"Asteraceae","SPECIES",NA,1979,"PRESERVED_SPECIMEN","CLEMS",""
"Coreopsis major",-85.044051,32.094396,"USA","Georgia",NA,4130213468,"Asteraceae","SPECIES",45,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-84.442742,34.811497,"USA","Georgia",NA,2626652037,"Asteraceae","SPECIES",96,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Coreopsis major",-83.307275,34.814817,"USA","Georgia",NA,4009870162,"Asteraceae","SPECIES",8,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
